类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
Z,巨潮行业分类标准,,巨潮行业分类标准,008002,CNINF Industry Classification Standard,008,0
Z01,能源,,巨潮行业分类标准,008002,Energy,Z,1
Z0101,能源,,巨潮行业分类标准,008002,Energy,Z01,2
Z010101,能源设备与服务,,巨潮行业分类标准,008002,Energy Equipment and Services,Z0101,3
Z01010101,能源设备,,巨潮行业分类标准,008002,Energy Equipment,Z010101,4
Z01010102,能源服务,,巨潮行业分类标准,008002,Energy Services,Z010101,4
Z010102,石油天然气,,巨潮行业分类标准,008002,Oil and Gas,Z0101,3
Z01010201,石油天然气的勘探与生产,,巨潮行业分类标准,008002,Oil and Gas Exploration and Production,Z010102,4
Z01010202,石油天然气的炼制与销售,,巨潮行业分类标准,008002,Oil and Gas Refining and Marketing,Z010102,4
Z01010203,石油天然气的储存与运输,,巨潮行业分类标准,008002,Oil and Gas Storage and Transportation,Z010102,4
Z01010204,综合性石油天然气企业,,巨潮行业分类标准,008002,Integrated Oil and Gas,Z010102,4
Z010103,煤炭,,巨潮行业分类标准,008002,Coal,Z0101,3
Z01010301,煤炭开采,,巨潮行业分类标准,008002,Coal Mining,Z010103,4
Z01010302,焦炭,,巨潮行业分类标准,008002,Coke,Z010103,4
Z010104,可替代能源,,巨潮行业分类标准,008002,Alternative Energy,Z0101,3
Z01010401,可替代能源,,巨潮行业分类标准,008002,Alternative Energy,Z010104,4
Z02,原材料,,巨潮行业分类标准,008002,Materials,Z,1
Z0201,基础化工,,巨潮行业分类标准,008002,Chemicals,Z02,2
Z020101,化学原料,,巨潮行业分类标准,008002,Chemical Materials,Z0201,3
Z02010101,化学原料,,巨潮行业分类标准,008002,Chemical Materials,Z020101,4
Z020102,化学制品,,巨潮行业分类标准,008002,Chemical Products,Z0201,3
Z02010201,涂料涂漆,,巨潮行业分类标准,008002,Coatings,Z020102,4
Z02010202,塑料制品,,巨潮行业分类标准,008002,Plastic Products,Z020102,4
