行业代码,行业名称,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
801010.SI,农林牧渔,104,20.48,25.85,1.91,2.55
801030.SI,基础化工,410,29.05,28.13,2.57,1.42
801040.SI,钢铁,44,15.45,15.8,0.88,2.55
801050.SI,有色金属,142,25.21,20.98,3.47,1.34
801080.SI,电子,486,104.07,92.72,9.73,0.34
801880.SI,汽车,287,21.36,22.42,2.07,1.96
801110.SI,家用电器,94,14.78,15.05,2.23,4.17
801120.SI,食品饮料,123,18.63,18.35,3.17,5.11
801130.SI,纺织服饰,107,18.82,18.76,1.57,4.12
801140.SI,轻工制造,158,21.36,21.95,1.98,2.76
801150.SI,医药生物,480,27.69,27.25,2.5,1.85
801160.SI,公用事业,131,17.91,18.32,1.71,2.88
801170.SI,交通运输,126,14.12,13.89,1.13,3.87
801180.SI,房地产,99,10.23,10.23,0.92,2.07
801200.SI,商贸零售,98,23.27,20.97,1.72,2.2
801210.SI,社会服务,80,29.77,30.15,2.29,1.76
801780.SI,银行,42,6.51,6.46,0.61,5.83
801790.SI,非银金融,81,10.04,10.07,1.22,2.41
801230.SI,综合,15,115.9,114.55,4.29,0.71
801710.SI,建筑材料,72,48.81,47.86,2.65,2.24
801720.SI,建筑装饰,155,10.13,10.56,0.68,3.11
801730.SI,电力设备,371,36.94,34.68,3.75,1.15
801890.SI,机械设备,535,44.32,44.28,3.75,1.11
801740.SI,国防军工,138,67.51,61.16,3.93,0.59
801750.SI,计算机,334,50.27,47.78,3.91,1.09
801760.SI,传媒,130,24.17,23.26,1.9,2.7
801770.SI,通信,123,34.46,34.08,3.22,1.87
801950.SI,煤炭,37,15.69,15.78,1.46,5.87
801960.SI,石油石化,47,12.25,11.74,1.11,4.66
801970.SI,环保,132,22.4,21.14,1.55,2.04
801980.SI,美容护理,29,26.69,27.02,2.26,2.55
