类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
S,申银万国行业分类,,申银万国行业分类标准,008003,Shenyin Wanguo Industry Classification,008,0
S11,农林牧渔,,申银万国行业分类标准,008003,"Agriculture, Forestry, Animal Husbandry and Fisheries",S,1
S1101,种植业,,申银万国行业分类标准,008003,Crop Farming,S11,2
S110101,种子,,申银万国行业分类标准,008003,Seed,S1101,3
S110102,粮食种植,,申银万国行业分类标准,008003,Grain-growing,S1101,3
S110103,其他种植业,,申银万国行业分类标准,008003,Other Crop Growing,S1101,3
S110104,食用菌,,申银万国行业分类标准,008003,Edible fungus,S1101,3
S1102,渔业,,申银万国行业分类标准,008003,Fishery,S11,2
S110201,海洋捕捞,,申银万国行业分类标准,008003,Ocean Fishing,S1102,3
S110202,水产养殖,,申银万国行业分类标准,008003,Aquaculture,S1102,3
S1103,林业Ⅱ,,申银万国行业分类标准,008003,Forestry II,S11,2
S110301,林业Ⅲ,,申银万国行业分类标准,008003,Forestry III,S1103,3
S1104,饲料,,申银万国行业分类标准,008003,Feed,S11,2
S110402,畜禽饲料,,申银万国行业分类标准,008003,Livestock Feed,S1104,3
S110403,水产饲料,,申银万国行业分类标准,008003,Aquatic Feed,S1104,3
S110404,宠物食品,,申银万国行业分类标准,008003,Pet Food,S1104,3
S1105,农产品加工,,申银万国行业分类标准,008003,Processing of Agricultural Products,S11,2
S110501,果蔬加工,,申银万国行业分类标准,008003,Fruit & Vegetable Processing,S1105,3
S110502,粮油加工,,申银万国行业分类标准,008003,Grain & Oil Processing,S1105,3
S110504,其他农产品加工,,申银万国行业分类标准,008003,Other Agricultural Products Processing,S1105,3
S1107,养殖业,,申银万国行业分类标准,008003,Aquaculture,S11,2
S110702,生猪养殖,,申银万国行业分类标准,008003,Pig Husbandry,S1107,3
S110703,肉鸡养殖,,申银万国行业分类标准,008003,Broiler Husbandry,S1107,3
S110704,其他养殖,,申银万国行业分类标准,008003,Other Husbandry,S1107,3
S1108,动物保健Ⅱ,,申银万国行业分类标准,008003,Animal Health Ii,S11,2
S110801,动物保健Ⅲ,,申银万国行业分类标准,008003,Animal Health III,S1108,3
S1109,农业综合Ⅱ,,申银万国行业分类标准,008003,Agribusiness II,S11,2
S110901,农业综合Ⅲ,,申银万国行业分类标准,008003,Comprehensive Agriculture III,S1109,3
S22,基础化工,,申银万国行业分类标准,008003,Basic Chemicals,S,1
S2202,化学原料,,申银万国行业分类标准,008003,Chemical Materials,S22,2
S220201,纯碱,,申银万国行业分类标准,008003,Soda,S2202,3
S220202,氯碱,,申银万国行业分类标准,008003,Chlor-alkali,S2202,3
S220203,无机盐,,申银万国行业分类标准,008003,Inorganic Salt,S2202,3
S220204,其他化学原料,,申银万国行业分类标准,008003,Other Chemical Products,S2202,3
S220205,煤化工,,申银万国行业分类标准,008003,Coal Chemical Industry,S2202,3
S220206,钛白粉,,申银万国行业分类标准,008003,Titanium Dioxide,S2202,3
S2203,化学制品,,申银万国行业分类标准,008003,Chemicals,S22,2
S220305,涂料油墨,,申银万国行业分类标准,008003,Coating Paint Inks Manufacturing,S2203,3
S220307,民爆制品,,申银万国行业分类标准,008003,Civil Explosive Products,S2203,3
S220308,纺织化学制品,,申银万国行业分类标准,008003,Textile Chemicals,S2203,3
S220309,其他化学制品,,申银万国行业分类标准,008003,Other Chemical Products,S2203,3
S220311,氟化工,,申银万国行业分类标准,008003,Fluorine Chemical,S2203,3
S220313,聚氨酯,,申银万国行业分类标准,008003,Polyurethane,S2203,3
S220315,食品及饲料添加剂,,申银万国行业分类标准,008003,Food & Feed Additives,S2203,3
S220316,有机硅,,申银万国行业分类标准,008003,Silicone,S2203,3
S220317,胶黏剂及胶带,,申银万国行业分类标准,008003,Adhesives & Tapes,S2203,3
S2204,化学纤维,,申银万国行业分类标准,008003,Chemical Fiber,S22,2
S220401,涤纶,,申银万国行业分类标准,008003,Terylene,S2204,3
S220403,粘胶,,申银万国行业分类标准,008003,Viscose,S2204,3
S220404,其他化学纤维,,申银万国行业分类标准,008003,Other Chemical Fibre,S2204,3
S220405,氨纶,,申银万国行业分类标准,008003,Spandex,S2204,3
S220406,锦纶,,申银万国行业分类标准,008003,Nylon,S2204,3
S2205,塑料,,申银万国行业分类标准,008003,Plastic,S22,2
S220501,其他塑料制品,,申银万国行业分类标准,008003,Other Plastic Products,S2205,3
S220503,改性塑料,,申银万国行业分类标准,008003,Modified Plastic,S2205,3
S220504,合成树脂,,申银万国行业分类标准,008003,Synthetic Resin,S2205,3
S220505,膜材料,,申银万国行业分类标准,008003,Membrane material,S2205,3
S2206,橡胶,,申银万国行业分类标准,008003,Rubber,S22,2
S220602,其他橡胶制品,,申银万国行业分类标准,008003,Other Rubber Products,S2206,3
S220603,炭黑,,申银万国行业分类标准,008003,Carbon Black,S2206,3
S220604,橡胶助剂,,申银万国行业分类标准,008003,Rubber Additives,S2206,3
S2208,农化制品,,申银万国行业分类标准,008003,Agrochemicals,S22,2
S220801,氮肥,,申银万国行业分类标准,008003,Nitrogenous Fertilizer,S2208,3
S220802,磷肥及磷化工,,申银万国行业分类标准,008003,Phosphate Fertilizer & Phosphorus Chemical Industry,S2208,3
S220803,农药,,申银万国行业分类标准,008003,Pesticides,S2208,3
S220804,钾肥,,申银万国行业分类标准,008003,Potash Fertilizer,S2208,3
S220805,复合肥,,申银万国行业分类标准,008003,Compound Fertilizer,S2208,3
S2209,非金属材料Ⅱ,,申银万国行业分类标准,008003,Non-Metallic Materials II,S22,2
S220901,非金属材料Ⅲ,,申银万国行业分类标准,008003,Non-metallic Materials Ⅲ,S2209,3
S23,钢铁,,申银万国行业分类标准,008003,Steel,S,1
S2303,冶钢原料,,申银万国行业分类标准,008003,Steel Raw Materials,S23,2
S230301,铁矿石,,申银万国行业分类标准,008003,Iron Ore,S2303,3
S230302,冶钢辅料,,申银万国行业分类标准,008003,Steel Smelting Accessories,S2303,3
S2304,普钢,,申银万国行业分类标准,008003,Plain Steel,S23,2
S230401,长材,,申银万国行业分类标准,008003,Long Steel Materials,S2304,3
S230402,板材,,申银万国行业分类标准,008003,Sheet Materials,S2304,3
S230403,钢铁管材,,申银万国行业分类标准,008003,Steel pipes,S2304,3
S2305,特钢Ⅱ,,申银万国行业分类标准,008003,Special Steel II,S23,2
S230501,特钢Ⅲ,,申银万国行业分类标准,008003,Special Steel Ⅲ,S2305,3
S24,有色金属,,申银万国行业分类标准,008003,Non-Ferrous Metals,S,1
