类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
0,中国上市公司协会上市公司行业分类,,中国上市公司协会上市公司行业分类标准,008001,CAPCO Industry Classification,008,0
A,农、林、牧、渔业,,中国上市公司协会上市公司行业分类标准,008001,"Agriculture, Forestry, Animal Husbandry and Fishery",0,0
A01,农业,,中国上市公司协会上市公司行业分类标准,008001,Agriculture,A,2
A011,谷物种植,,中国上市公司协会上市公司行业分类标准,008001,Grain Planting,A01,3
A012,豆类、油料和薯类种植,,中国上市公司协会上市公司行业分类标准,008001,"Bean, Oil Crops and Potato Planting",A01,3
A013,棉、麻、糖、烟草种植,,中国上市公司协会上市公司行业分类标准,008001,"Cotton, Hemp, Sugar and Tobacco Planting",A01,3
A014,蔬菜、食用菌及园艺作物种植,,中国上市公司协会上市公司行业分类标准,008001,"Vegetables, Edible Fungi and Horticultural Crops Planting",A01,3
A015,水果种植,,中国上市公司协会上市公司行业分类标准,008001,Fruit Planting,A01,3
A016,坚果、含油果、香料和饮料作物种植,,中国上市公司协会上市公司行业分类标准,008001,"Nuts, Oily Fruits, Spices and Beverage Crops Planting",A01,3
A017,中药材种植,,中国上市公司协会上市公司行业分类标准,008001,Traditional Chinese Medicine Planting,A01,3
A018,草种植及割草,,中国上市公司协会上市公司行业分类标准,008001,Grass Planting and Mowing,A01,3
A019,其他农业,,中国上市公司协会上市公司行业分类标准,008001,Other Agriculture,A01,3
A02,林业,,中国上市公司协会上市公司行业分类标准,008001,Forestry,A,2
A021,林木育种和育苗,,中国上市公司协会上市公司行业分类标准,008001,Forest Tree Breeding and Seedling Cultivation,A02,3
A022,造林和更新,,中国上市公司协会上市公司行业分类标准,008001,Afforestation and Regeneration,A02,3
A023,森林经营、管护和改培,,中国上市公司协会上市公司行业分类标准,008001,"Forest Management, Conservation, Improvement and Cultivation",A02,3
A024,木材和竹材采运,,中国上市公司协会上市公司行业分类标准,008001,Timber and Bamboo Harvesting and Transportation,A02,3
A025,林产品采集,,中国上市公司协会上市公司行业分类标准,008001,Forest Product Collection,A02,3
A03,畜牧业,,中国上市公司协会上市公司行业分类标准,008001,Animal Husbandry,A,2
A031,牲畜饲养,,中国上市公司协会上市公司行业分类标准,008001,Livestock Husbandry,A03,3
A032,家禽饲养,,中国上市公司协会上市公司行业分类标准,008001,Poultry Husbandry,A03,3
A033,狩猎和捕捉动物,,中国上市公司协会上市公司行业分类标准,008001,Animal Hunting and Trapping,A03,3
A039,其他畜牧业,,中国上市公司协会上市公司行业分类标准,008001,Other Animal Husbandry,A03,3
A04,渔业,,中国上市公司协会上市公司行业分类标准,008001,Fishery,A,2
A041,水产养殖,,中国上市公司协会上市公司行业分类标准,008001,Aquaculture,A04,3
A042,水产捕捞,,中国上市公司协会上市公司行业分类标准,008001,Aquatic Fishing,A04,3
A05,农、林、牧、渔专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,"Agriculture, Forestry, Animal Husbandry, Fishery and Auxiliary Activities",A,2
A051,农业专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Agriculture and Auxiliary Activities,A05,3
A052,林业专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Forestry and Auxiliary Activities,A05,3
A053,畜牧专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Animal Husbandry and Auxiliary Activities,A05,3
A054,渔业专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Fishery and Auxiliary Activities,A05,3
B,采矿业,,中国上市公司协会上市公司行业分类标准,008001,Mining,0,0
B06,煤炭开采和洗选业,,中国上市公司协会上市公司行业分类标准,008001,Coal Mining and Dressing,B,2
B061,烟煤和无烟煤开采洗选,,中国上市公司协会上市公司行业分类标准,008001,Bitumite and Anthracite Mining and Dressing,B06,3
B062,褐煤开采洗选,,中国上市公司协会上市公司行业分类标准,008001,Lignite Mining and Dressing,B06,3
B069,其他煤炭采选,,中国上市公司协会上市公司行业分类标准,008001,Other Coal Mining and Dressing,B06,3
B07,石油和天然气开采业,,中国上市公司协会上市公司行业分类标准,008001,Petroleum and Natural Gas Extraction,B,2
B071,石油开采,,中国上市公司协会上市公司行业分类标准,008001,Petroleum Extraction,B07,3
B072,天然气开采,,中国上市公司协会上市公司行业分类标准,008001,Natural Gas Extraction,B07,3
B08,黑色金属矿采选业,,中国上市公司协会上市公司行业分类标准,008001,Ferrous Metals Mining and Dressing,B,2
B081,铁矿采选,,中国上市公司协会上市公司行业分类标准,008001,Iron Ores Mining and Dressing,B08,3
B082,锰矿、铬矿采选,,中国上市公司协会上市公司行业分类标准,008001,Manganese and Chromium Ores Mining and Dressing,B08,3
B089,其他黑色金属矿采选,,中国上市公司协会上市公司行业分类标准,008001,Other Ferrous Metals Mining and Dressing,B08,3
B09,有色金属矿采选业,,中国上市公司协会上市公司行业分类标准,008001,Nonferrous Metals Mining and Dressing,B,2
B091,常用有色金属矿采选,,中国上市公司协会上市公司行业分类标准,008001,Common Nonferrous Metals Mining and Dressing,B09,3
B092,贵金属矿采选,,中国上市公司协会上市公司行业分类标准,008001,Precious Metal Mining and Dressing,B09,3
B093,稀有稀土金属矿采选,,中国上市公司协会上市公司行业分类标准,008001,Rare Earth Metal Mining and Dressing,B09,3
B10,非金属矿采选业,,中国上市公司协会上市公司行业分类标准,008001,Nonmetal Minerals Mining and Dressing,B,2
B101,土砂石开采,,中国上市公司协会上市公司行业分类标准,008001,"Soil, Sand and Stone Mining",B10,3
B102,化学矿开采,,中国上市公司协会上市公司行业分类标准,008001,Chemical Ores Mining,B10,3
B103,采盐,,中国上市公司协会上市公司行业分类标准,008001,Salt Mining,B10,3
B109,石棉及其他非金属矿采选,,中国上市公司协会上市公司行业分类标准,008001,Asbestos and Other Nonmetal Minerals Mining and Dressing,B10,3
B11,开采专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Mining and Auxiliary Activities,B,2
B111,煤炭开采和洗选专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Coal Mining and Dressing and Auxiliary Activities,B11,3
B112,石油和天然气开采专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Petroleum and Natural Gas Extraction and Auxiliary Activities,B11,3
B119,其他开采专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Other Mining and Auxiliary Activities,B11,3
B12,其他采矿业,,中国上市公司协会上市公司行业分类标准,008001,Other Minerals Mining,B,2
B120,其他采矿业,,中国上市公司协会上市公司行业分类标准,008001,Other Minerals Mining,B12,3
C,制造业,,中国上市公司协会上市公司行业分类标准,008001,Manufacturing,0,0
C13,农副食品加工业,,中国上市公司协会上市公司行业分类标准,008001,Agricultural and Sideline Products Processing,CA,2
